Algorithm Name,Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,2,0,120,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERand,2,2,120,38,619,284,1,0.31666666666666665,0.4588045234248788,0,0,0.09090909090909091,0.23529411764705882,0.14285714285714285,0.14285714285714285,0.7272727272727273,0.8333333333333334,0.8,0.875
Amaga,2,2,120,92,619,517,1,0.7666666666666667,0.8352180936995154,0.4,0.5833333333333334,0.8181818181818182,0.7058823529411765,0.8095238095238095,0.7857142857142857,0.8181818181818182,0.8333333333333334,1,1
Ampga,2,2,120,95,619,530,1,0.7916666666666666,0.8562197092084006,0.5,0.5833333333333334,0.7272727272727273,0.8823529411764706,0.7619047619047619,0.7857142857142857,0.8181818181818182,1,1,1
Mcssga,2,2,120,92,619,529,1,0.7666666666666667,0.8546042003231018,0.3,0.5833333333333334,0.6363636363636364,0.8235294117647058,0.7619047619047619,0.7142857142857143,1,1,1,1
