nohup: ignoring input
testing cp: 0, mp: 0.007, round 4
testing cp: 0, mp: 0.007, round 5
testing cp: 0, mp: 0.007, round 6
testing cp: 0, mp: 0.007, round 7
testing cp: 0, mp: 0.007, round 8
testing cp: 0, mp: 0.007, round 9
testing cp: 0, mp: 0.007, round 10
testing cp: 0, mp: 0.007, round 11
testing cp: 0, mp: 0.007, round 12
testing cp: 0, mp: 0.007, round 13
testing cp: 0, mp: 0.007, round 14
testing cp: 0, mp: 0.007, round 15
testing cp: 0, mp: 0.007, round 16
testing cp: 0, mp: 0.007, round 17
testing cp: 0, mp: 0.007, round 18
testing cp: 0, mp: 0.007, round 19
testing cp: 0, mp: 0.008, round 0
testing cp: 0, mp: 0.008, round 1
testing cp: 0, mp: 0.008, round 2
testing cp: 0, mp: 0.008, round 3
testing cp: 0, mp: 0.008, round 4
testing cp: 0, mp: 0.008, round 5
testing cp: 0, mp: 0.008, round 6
testing cp: 0, mp: 0.008, round 7
testing cp: 0, mp: 0.008, round 8
testing cp: 0, mp: 0.008, round 9
testing cp: 0, mp: 0.008, round 10
testing cp: 0, mp: 0.008, round 11
testing cp: 0, mp: 0.008, round 12
testing cp: 0, mp: 0.008, round 13
testing cp: 0, mp: 0.008, round 14
testing cp: 0, mp: 0.008, round 15
testing cp: 0, mp: 0.008, round 16
testing cp: 0, mp: 0.008, round 17
testing cp: 0, mp: 0.008, round 18
testing cp: 0, mp: 0.008, round 19
testing cp: 0, mp: 0.009000000000000001, round 0
testing cp: 0, mp: 0.009000000000000001, round 1
testing cp: 0, mp: 0.009000000000000001, round 2
testing cp: 0, mp: 0.009000000000000001, round 3
testing cp: 0, mp: 0.009000000000000001, round 4
testing cp: 0, mp: 0.009000000000000001, round 5
testing cp: 0, mp: 0.009000000000000001, round 6
testing cp: 0, mp: 0.009000000000000001, round 7
testing cp: 0, mp: 0.009000000000000001, round 8
testing cp: 0, mp: 0.009000000000000001, round 9
testing cp: 0, mp: 0.009000000000000001, round 10
testing cp: 0, mp: 0.009000000000000001, round 11
testing cp: 0, mp: 0.009000000000000001, round 12
testing cp: 0, mp: 0.009000000000000001, round 13
testing cp: 0, mp: 0.009000000000000001, round 14
testing cp: 0, mp: 0.009000000000000001, round 15
testing cp: 0, mp: 0.009000000000000001, round 16
testing cp: 0, mp: 0.009000000000000001, round 17
testing cp: 0, mp: 0.009000000000000001, round 18
testing cp: 0, mp: 0.009000000000000001, round 19
testing cp: 0, mp: 0.010000000000000002, round 0
testing cp: 0, mp: 0.010000000000000002, round 1
testing cp: 0, mp: 0.010000000000000002, round 2
testing cp: 0, mp: 0.010000000000000002, round 3
testing cp: 0, mp: 0.010000000000000002, round 4
testing cp: 0, mp: 0.010000000000000002, round 5
testing cp: 0, mp: 0.010000000000000002, round 6
testing cp: 0, mp: 0.010000000000000002, round 7
testing cp: 0, mp: 0.010000000000000002, round 8
