Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,23.899533007,1,0,140,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERand,27.250018488,1,1,140,20,726,183,1,0.14285714285714285,0.25206611570247933,0,0,0,0,0,0,0.13333333333333333,0.375,0.3125,0.7692307692307693
Amaga,615.730579886,1,1,140,103,726,628,1,0.7357142857142858,0.8650137741046832,0.2857142857142857,0.46153846153846156,0.6,0.875,0.7272727272727273,1,0.7333333333333333,1,1,1
Ampga,410.917901419,1,1,140,98,726,619,1,0.7,0.8526170798898072,0.14285714285714285,0.46153846153846156,0.6,0.75,0.6363636363636364,1,0.8,1,1,1
Diktyoga,425.377196478,1,1,140,98,726,615,1,0.7,0.8471074380165289,0.14285714285714285,0.46153846153846156,0.6666666666666666,0.75,0.6363636363636364,1,0.7333333333333333,1,1,1
Mcssga,428.309371983,1,1,140,92,726,608,1,0.6571428571428571,0.837465564738292,0,0.3076923076923077,0.5333333333333333,0.6875,0.8181818181818182,1,0.7333333333333333,1,1,1
